YearMonth,Primary Type,Count
2019-03,ROBBERY,509
2019-03,THEFT,4479
2019-03,TRESPASSING,515
2019-03,VANDALISM,2026
2019-03,VEHICLE THEFT,716
2019-04,ARSON,31
2019-04,ASSAULT,1734
2019-04,BATTERY,3977
2019-04,BURGLARY,700
2019-04,HOMICIDE,61
2019-04,NARCOTICS,1293
2019-04,OTHER,1454
2019-04,ROBBERY,599
2019-04,THEFT,4653
2019-04,TRESPASSING,562
2019-04,VANDALISM,2277
2019-04,VEHICLE THEFT,770
2019-05,ARSON,25
2019-05,ASSAULT,2046
2019-05,BATTERY,4759
2019-05,BURGLARY,815
2019-05,HOMICIDE,55
2019-05,NARCOTICS,1204
2019-05,OTHER,1560
2019-05,ROBBERY,632
2019-05,THEFT,5399
2019-05,TRESPASSING,645
2019-05,VANDALISM,2498
2019-05,VEHICLE THEFT,765
2019-06,ARSON,29
2019-06,ASSAULT,2004
2019-06,BATTERY,4748
2019-06,BURGLARY,789
2019-06,HOMICIDE,52
2019-06,NARCOTICS,1231
2019-06,OTHER,1486
2019-06,ROBBERY,767
2019-06,THEFT,5656
2019-06,TRESPASSING,579
2019-06,VANDALISM,2531
2019-06,VEHICLE THEFT,773
2019-07,ARSON,46
2019-07,ASSAULT,1931
2019-07,BATTERY,4874
2019-07,BURGLARY,928
2019-07,HOMICIDE,44
2019-07,NARCOTICS,1282
2019-07,OTHER,1480
2019-07,ROBBERY,776
2019-07,THEFT,6000
2019-07,TRESPASSING,626
2019-07,VANDALISM,2597
2019-07,VEHICLE THEFT,885
2019-08,ARSON,36
2019-08,ASSAULT,1833
2019-08,BATTERY,4557
2019-08,BURGLARY,904
2019-08,HOMICIDE,51
2019-08,NARCOTICS,1443
2019-08,OTHER,1341
2019-08,ROBBERY,769
2019-08,THEFT,6174
2019-08,TRESPASSING,591
2019-08,VANDALISM,2567
2019-08,VEHICLE THEFT,843
2019-09,ARSON,29
2019-09,ASSAULT,1791
2019-09,BATTERY,4321
2019-09,BURGLARY,875
2019-09,HOMICIDE,51
2019-09,NARCOTICS,1207
2019-09,OTHER,1361
2019-09,ROBBERY,692
2019-09,THEFT,5445
2019-09,TRESPASSING,611
2019-09,VANDALISM,2370
2019-09,VEHICLE THEFT,679
2019-10,ARSON,28
2019-10,ASSAULT,1728
2019-10,BATTERY,3863
2019-10,BURGLARY,863
2019-10,HOMICIDE,42
2019-10,NARCOTICS,1188
2019-10,OTHER,1398
2019-10,ROBBERY,686
2019-10,THEFT,5393
2019-10,TRESPASSING,578
2019-10,VANDALISM,2328
2019-10,VEHICLE THEFT,727
2019-11,ARSON,32
2019-11,ASSAULT,1474
2019-11,BATTERY,3673
2019-11,BURGLARY,792
2019-11,HOMICIDE,34
2019-11,NARCOTICS,1122
2019-11,OTHER,1212
2019-11,ROBBERY,666
2019-11,THEFT,4888
2019-11,TRESPASSING,543
2019-11,VANDALISM,1990
2019-11,VEHICLE THEFT,692
2019-12,ARSON,41
2019-12,ASSAULT,1537
2019-12,BATTERY,3820
2019-12,BURGLARY,827
2019-12,HOMICIDE,34
2019-12,NARCOTICS,1086
2019-12,OTHER,1209
2019-12,ROBBERY,744
2019-12,THEFT,5459
2019-12,TRESPASSING,509
2019-12,VANDALISM,1987
2019-12,VEHICLE THEFT,767
2020-01,ARSON,23
2020-01,ASSAULT,1520
2020-01,BATTERY,3607
2020-01,BURGLARY,740
2020-01,HOMICIDE,36
2020-01,NARCOTICS,1292
2020-01,OTHER,1425
2020-01,ROBBERY,726
2020-01,THEFT,4610
2020-01,TRESPASSING,575
2020-01,VANDALISM,1792
2020-01,VEHICLE THEFT,669
2020-02,ARSON,31
2020-02,ASSAULT,1386
2020-02,BATTERY,3388
2020-02,BURGLARY,619
2020-02,HOMICIDE,38
2020-02,NARCOTICS,1177
2020-02,OTHER,1245
2020-02,ROBBERY,637
2020-02,THEFT,4176
2020-02,TRESPASSING,534
2020-02,VANDALISM,1742
2020-02,VEHICLE THEFT,653
2020-03,ARSON,27
2020-03,ASSAULT,1477
2020-03,BATTERY,3562
2020-03,BURGLARY,568
2020-03,HOMICIDE,30
2020-03,NARCOTICS,741
2020-03,OTHER,1115
2020-03,ROBBERY,495
2020-03,THEFT,3535
2020-03,TRESPASSING,394
2020-03,VANDALISM,1892
2020-03,VEHICLE THEFT,628
2020-04,ARSON,36
2020-04,ASSAULT,1112
2020-04,BATTERY,2693
2020-04,BURGLARY,528
2020-04,HOMICIDE,62
2020-04,NARCOTICS,179
2020-04,OTHER,743
2020-04,ROBBERY,455
2020-04,THEFT,2508
2020-04,TRESPASSING,235
2020-04,VANDALISM,1785
2020-04,VEHICLE THEFT,659
2020-05,ARSON,78
2020-05,ASSAULT,1488
2020-05,BATTERY,3505
2020-05,BURGLARY,1323
2020-05,HOMICIDE,86
2020-05,NARCOTICS,484
2020-05,OTHER,880
2020-05,ROBBERY,599
2020-05,THEFT,2925
2020-05,TRESPASSING,277
2020-05,VANDALISM,2478
2020-05,VEHICLE THEFT,829
2020-06,ARSON,74
2020-06,ASSAULT,1726
2020-06,BATTERY,3924
2020-06,BURGLARY,754
2020-06,HOMICIDE,94
2020-06,NARCOTICS,339
2020-06,OTHER,969
2020-06,ROBBERY,574
2020-06,THEFT,3086
2020-06,TRESPASSING,285
2020-06,VANDALISM,2451
2020-06,VEHICLE THEFT,794
2020-07,ARSON,63
2020-07,ASSAULT,1892
2020-07,BATTERY,4153
2020-07,BURGLARY,738
2020-07,HOMICIDE,111
2020-07,NARCOTICS,517
2020-07,OTHER,1120
2020-07,ROBBERY,734
2020-07,THEFT,3676
2020-07,TRESPASSING,309
2020-07,VANDALISM,2504
2020-07,VEHICLE THEFT,959
2020-08,ARSON,57
2020-08,ASSAULT,1836
2020-08,BATTERY,4076
2020-08,BURGLARY,1062
2020-08,HOMICIDE,68
2020-08,NARCOTICS,552
2020-08,OTHER,1100
2020-08,ROBBERY,816
2020-08,THEFT,3886
